wmeanwstdw"skew"wkurt
0w34.83367919921875w61.401126870714535w2.9536066987507335w6.724613391667408
1w39.77935791015625w68.13592940376897w2.5164728231669837w4.333164405572981
2w38.52288818359375w66.52444762108462w2.6152109050590253w4.83991887345133
3w141.6590576171875w14.886371990517995w-3.9384343472737644w20.00841331924764
4w146.2271728515625w19.564074317097404w-2.8860857057007414w9.643871639251698
5w130.989990234375w25.236292047966298w-0.357530647856119w1.9896081817832738
6w138.69915771484375w18.793532383520514w-2.9302565024542933w9.219964788932767
7w148.3704833984375w15.811050828904342w-3.2582862752204846w12.924963209963945
8w129.65399169921875w23.773534623183334w-0.8143695908161767w1.2853804767703987
9w136.7523193359375w19.03064236832433w-2.3904468376165187w5.9277244632932025
10w150.67041015625w10.560199143380656w-3.7529637809688112w22.64854833232074
11w128.20751953125w23.804538902640328w-0.8724504248248323w0.4708907871648731
12w135.534423828125w18.134704858173013w-2.1399544631750573w5.093865697029781
13w150.81085205078125w9.24455568611557w-4.023324546873831w28.08014662960866
14w130.507080078125w23.858723204229253w-0.9536593185498259w0.40290288930314766
15w132.60308837890625w18.2531084475775w-1.7044488399480466w3.3567798696695967
16w150.360107421875w7.966363112012423w-3.6316684484020563w26.28760104238142
17w133.0653076171875w24.01223024667076w-1.0993170506137895w0.5815999646398007
18w131.32171630859375w17.18756861820892w-1.8260480949225169w4.165672615475106
19w150.05914306640625w6.922331782711243w-2.024764909024807w9.865506010946453
20w135.20025634765625w23.23422498603172w-1.3189886187684277w1.1394271073846416
21w130.3055419921875w16.446726393339897w-1.8514926273616412w4.391733913148688
22w148.8966064453125w6.760718119147024w-1.8934936867151124w8.37669107493416
23w137.70050048828125w22.205506063493804w-1.495624589778603w1.8057976831838247
24w122.5421142578125w23.476860314422808w-1.5539810637356102w2.4879418416126984
25w147.721923828125w7.162500623671138w-1.621165655505752w7.70713272871672
26w140.66448974609375w20.465516707757526w-1.8482418383426358w3.382732312378113
27w112.42718505859375w29.231317903818876w-0.9757854139671543w0.2756659997212303
28w145.748779296875w8.23167552432289w-1.8600691109570298w6.661206755094499
29w142.76300048828125w19.09628377813704w-2.0930090344594894w4.683543615680097
30w106.8408203125w30.10865272058689w-0.6618447365482034w-0.2551761215373829
31w142.04864501953125w14.354503648881911w-2.9553758729911594w12.253310383322583
32w145.09539794921875w16.201095220945334w-2.4682519677056627w7.4206582613599945
33w107.3050537109375w32.51389660740098w-0.3526453117771935w-0.39527411711836935
34w138.0428466796875w17.52091193344697w-2.192107431206187w5.789851477497416
35w146.5875244140625w12.899090204654318w-2.4855086544616665w8.062429232497541
36w109.95062255859375w33.93845755058007w-0.2997401516491774w-0.2589615856221803
37w134.63433837890625w18.621934222402476w-1.8537964576119041w4.234992513521819
38w147.19757080078125w11.411968002588862w-2.306553887417855w7.123821583118104
39w118.0936279296875w32.40586249417982w-0.5964010236964815w0.4019329169167358
40w124.8677978515625w27.10988899484341w-1.3350086411445599w1.4503359661435264
41w146.57733154296875w10.819720446588907w-1.7693997317651453w3.904567941904626
